Item,Description,Qty,Price
PrestigeHeritageStandardSBQM,Prestige Heritage Standard Sunburst Quilt Maple AAA with Original Hardshell Casing,1,"TK105,000.00"
AllPartsCTS500KSealedPremiumAudioPotEP-4086-000,"500K CTS sealed 283 premium pot, special Allparts audio taper, split shaft, with hardware",1,"TK1,500.00"
power accessories,"Voodoo Lab Pedal Power 18-volt Y Cable - 18"" Str-Str Y 18v",1,"TK1,000.00"
AllPartsParchmentPearloidTremoloSpringCoverPG-0556-065,"Tremolo Spring Cover, Parchment Pearloid 3-ply (PP/with B)",1,"TK1,800.00"
AllPartsSunburstFinishedReplacementBodyforStratSBF-3SB,"Replacement body for Stratocaster®, Alder, Tremolo Routing, with 3-Tone Sunburst finish. Stratocaster® is a registered trademark of Fender® Musical Instruments Corp.",1,"TK42,500.00"
AllPartsParchmentPearloidPickguardforStratPG-0552-065,"Pickguard for Stratocaster®, Parchment Pearloid 3-ply (PP/with B) (11 screw holes). Gloss finish with foil conductive shielding on the back.",1,"TK4,750.00"
AllPartsGotohSG381-MGTLockingMiniKeysChromeTK-0768-010,"Gotoh SG381-MGT locking tuning keys, minis, 6-in-line, Chrome with lock knob on back of key, 16:1 ratio. Includes three 18.5mm post length tuners and three 20mm post length tuners.",1,"TK10,000.00"
AllPartsBN-2219-00NGraphTechBQL-5000-00PTFENut,Graph Tech BQL-5000-00 TUSQ XL - Stratocaster® style curved bottom nut. PTFE impregnated for permanent lubrication. Fits most American and import Stratocaster® and Telecaster® style guitars.,1,"TK1,850.00"
WamplerClarksdaleDeltaOverdriveDistortion,"Wampler Clarksdale Delta Overdrive Pedal: Distortion/Overdrive Guitar Pedal with 3-band EQ, Lift/Smooth Toggle Switch, Drive and Volume Controls, and True Bypass Relay Switch",1,"TK19,000.00"
SDSHR1N-B,Seymour Duncan Hot Rails™ for Strat SHR-1 (Neck) Black,1,"TK7,500.00"
ReverendBayonetDeepSeaBlueTrem,Reverend Bayonet Guitar Deep Sea Blue Tremolo with Original Hard Case,1,"TK82,500.00"
FernandesRetrorocketEliteBlueBurst,Fernandes Retrorocket ® Elite See-thru Blue Burst with Original Hard Case,1,"TK105,000.00"
FulltoneSPKRCBL,Fulltone SC6 6' Speaker Cable,1,"TK3,500.00"
Input Jack,Input Jack,1,"TK1,000.00"
AllPartsTremol-NoPinTypeBP-2005-010,Tremol-No™ Pin Type Tremolo Locking Device with hardware,1,"TK9,350.00"
BreedlovePassportC200SMP,Breedlove Passport C200/SMP with Original Gig Bag,1,"TK26,000.00"
SDSA3SC,Seymour Duncan Acoustic Guitar SA-3SC Woody Single Coil Pickup,1,"TK5,000.00"
Guitar Cabinet,Diamond Vanguard 1x12 Cabinet,1,"TK30,000.00"
PrestigeHeritageStandardBlack,Prestige Heritage Standard Black with Original Hardshell Casing,1,"TK90,000.00"
FernandesDragonflyProSusAmber,Fernandes Dragonfly® Pro Sustainer See Thru Amber with Carvin Gig Bag,1,"TK53,500.00"
Apogee Jam,Apogee Jam,1,"TK9,000.00"
SDAHB2B,Seymour Duncan AHB-2b Blackout Metal Bridge Humbucker Black,1,"TK9,500.00"
DiagoGuitarAmpHeadLS01,Diago Little Smasher 5W Guitar Amp Head (LS01),1,"TK16,500.00"
FernandesMontereyDeluxeTremSusWRS,Fernandes Monterey® Deluxe Tremolo Sustainer Wine Red Satin with Original Hard Case,1,"TK88,000.00"
FernandesMontereyBass5XBlack,Fernandes Monterey® Bass 5 X Black,1,"TK40,000.00"
CarvinMB10,Carvin MB10 250 watt Combo Bass Amp,1,"TK35,000.00"
DunlopDB01,Dunlop Dime Cry Baby From Hell,1,"TK14,500.00"
Guitar Strap Button,Carvin E2B STRAP BUTTONS - BLACK (Set of two),1,TK350.00
Guitar Jack,Carvin FJ1B BLACK FLUSH MOUNT JACK,1,TK750.00
ReverendCharger290TB,Reverend Charger 290 Tobacco Burst with Original Hard case,1,"TK85,000.00"
Daisy Chain,Daisy Chain Power Connectors,1,"TK1,000.00"
De-Glue Goo,De-Glue Goo dissolves waterbase glues,1,"TK1,200.00"
Carvin in ear monitor,Carvin In Ear Monitor,1,"TK38,000.00"
FernandesVortexEliteSusBlackBarbWire,Fernandes Vortex® Elite Sustainer Black with White Bevels Barb Wire Fretboard,1,"TK90,000.00"
VisualSound1SPOTMultiPlug8Cable,Visual Sound 1 SPOT Multi Plug 8 Cable,1,"TK1,650.00"
EHXBBN,EHX Bassballs Nano,1,"TK5,500.00"
ProMarkNylonBrushB400,ProMark B400 Retractable Nylon Brush,1,"TK2,000.00"
DBZBARFMFRTBU,DBZ Barchetta Transparent Blue (BARFM-FR-TBU) with Original DBZ Hardcase,1,"TK75,000.00"
FulltoneTPABYHT,Fulltone True-Path ABY Hard Touch,1,"TK21,500.00"
DiagoPowerBlueAdaptorPS04,Diago Blue Adaptor (PS04),1,TK0.00
MXRDD11,MXR Dime Distortion,1,"TK11,500.00"
DiagoPowerIsolatorAdaptorPS09,Digo Isolator Adaptor (PS09),1,"TK2,000.00"
CordobaFlamencoCrossover55FCEThinbody,Cordoba Flamenco Crossover 55FCE Thinbody Electro-Acoustic with Original Humi-Case Hard Case,1,"TK115,000.00"
Dunlop6582UltraGlideStringCleanerConditioner,Dunlop 6582 UltraGlide String Cleaner and Conditioner,1,TK500.00
ReverendThundergunWineRed,Reverend Thundergun Bass Wine Red with Original Hard Case,1,"TK100,000.00"
FloydRoseTheKey,The Key: The unique tool that makes Original Floyd Rose tremolo intonation easy and precise.,1,"TK1,200.00"
Tech21Trademark60,Tech 21 Trademark 60 with original cover and footswitch,1,"TK50,000.00"
EHXVP,EHX Volume Pedal,1,"TK7,000.00"
Wamplerdecibel+,"Wampler decibel+ Buffer/Boost Boost/Buffer Pedal with Variable Gain, True Bypass",1,"TK13,500.00"
WamplerLatitudeDeluxeTremolo,"Wampler Latitude Deluxe Tremolo Pedal: Tremolo Pedal with Attack, Depth, Speed, Space, and Level Controls, Note Sub-division Selection, Tap Tempo, Waveform Selector, and True Bypass",1,"TK23,000.00"
DecibelElevenPedalPalette,Decibel Eleven Pedal Palette 4 Pedal Looper,1,"TK36,500.00"
FernandesRevolverEliteJSSignatureSusRedCam,Fernandes Revolver® Elite JS Signature Sustainer Red Camo with Original Hard Case,1,"TK125,000.00"
JamHubBedRoomJHBedRoom,"JamHub BedRoom: 5-section, 15 Audio Channel Silent Rehearsal Studio with XLR and TRS Inputs, Stage Function, Stereo Recording Output, and Built-in Effects.",1,"TK36,000.00"
MXRM102,MXR Dyna Compressor,1,"TK6,500.00"
WamplerHotWiredV2,Wampler Hot Wired V2,1,"TK25,000.00"
Tech21USMetal,Tech 21 Character Series U.S. Metal,1,"TK15,000.00"
PedalTrainMiniSC,PedalTrain Mini with Soft Case: (PT-MINI-SC):  Frame - 21x7x1 inches,1,"TK7,500.00"
ReverendJustice3TSB,Reverend Justice Bass 3 Tone Burst with Original Hard Case,1,"TK92,500.00"
MXRM101,MXR Phase 90,1,"TK8,500.00"
MXRM78,MXR Custom Badass '78 Distortion:,1,"TK7,500.00"
CordobaFusion12OrchestraCE,Cordoba Fusion 12 Orchestra CE Electro-Acoustic with Original Gig Bag,1,"TK42,500.00"
ReverendReevesGabrelsIIOrange,Reverend Reeves Gabrels II Signature guitar Transparent Orange,1,"TK110,000.00"
WhitePearloidStratocasterOutlinePG-0992-055,"Pickguard Outline for Stratocaster®, (No Holes) White Pearloid 3-ply (WP/W/B)",1,"TK4,800.00"
SDSH6B,Seymour Duncan SH-6b Duncan Distortion Pickup Bridge (Black),1,"TK7,000.00"
ChromeJackplateAP-0610-010,"Chrome Jackplate for Stratocaster, With Screws",1,TK750.00
FernandesTonyCamposTremor5DeluxeLavaBurst,Fernandes Tony Campos Tremor 5 Deluxe Lava Burst with Original Hard Case,1,"TK95,000.00"
StrapLockSLS1033BK,Dunlop Dual Design Straplok System - Black,1,"TK1,300.00"
GuitarStringsGBUL,GHS GBUL Guitar Boomers Roundwound Ultra Light Electric Guitar Strings: .008-.038,1,TK500.00
VooDooLabsPowerCableRS242RAS,"Voodoo Lab 2.1mm Pedal Power Cable - 24"" Ang-Str 2-pk",1,TK700.00
9-VoltTopMountBatteryCompartmentEP-2929-023,"9-Volt Deluxe Battery Compartment, Access door, Black, 2-3/16"" x 1"" . Has a 4-screw mounting flange. Built-in terminals and lead wires. Mounting surface must be at least 1-1/4"" x 2-1/2"" (31.75mm x 63.50mm) and 1-1/2"" (38.10mm) depth.",1,"TK2,000.00"
FenderCRL5-WayStratocasterSwitchEP-0076-000,"5-Way Switch, With stainless steel screws for Stratocaster®, The Original CRL Switch. Made in the USA.",1,"TK2,000.00"
CarvinFlushMountJackFJ1B,Carvin FJ1B BLACK FLUSH MOUNT JACK,1,"TK1,000.00"
CTSLongShaft500KSplitShaftAudioPotEP-0686-000,"500K Audio Pot, 3/4 Long Threaded Bushing, CTS, 24 spline split knurled shaft with nut, lock and dress washer. Threaded bushing is 3/4"" tall.",1,"TK1,000.00"
BlackMetalKnobsMK-3330-003,Black barrel knob with indicator and set screw. Fits import concentric pots and split shaft pots. Measures 3/4 x 3/4 inch.,1,TK900.00
BreedlovePassportC250CMeFS,Breedlove Passport C250/CMe-FS acoustic-electric guitar,1,"TK48,500.00"
BreedlovePassportPLUSC250COe,Breedlove Passport PLUS C250/COe acoustic-electric guitar with Original Gig Bag,1,"TK48,500.00"
ISPNoiseGateDecimatorV2,ISP Technologies Decimator II Noise Suppressor Pedal,1,"TK14,500.00"
GuitarAmpPignoseBrown,"Pignose Amps Pignose 1x5"" 5-Watt Combo - Brown Original Pignose 5W 5"" Practice Amplifier with Power Supply",1,"TK10,000.00"
CordobaGKStudioNegraFlamencoElectro-Acoustic,Cordoba GK Studio Negra Flamenco Electro-Acoustic Guitar with Original Gig Bag,1,"TK56,000.00"
Dunlop6434CymbalCleanerPolish,Dunlop 6434 Cymbal Cleaner and Polish,1,TK500.00
DigitechBassWhammy,"DigiTech Bass Whammy: Pitch Shifter/Harmony Pedal for Electric Bass Guitar, with Three Octave Pitch Range and Built-in Expression Pedal",1,"TK22,500.00"
Audio Inteerface,"Behringer iS202: Recording Dock for Apple iPad, with 2 XLR/TRS Inputs, MIDI I/O, Composite Video Output, and USB Connection for Use with iPad Apps",1,"TK10,000.00"
EB4061,Ernie Ball Chrome Stud Black Leather Strap,1,"TK4,000.00"
GuitarTuningMachineHeadsGrover505C6,"Grover 505C6 Mini Roto-Grip Locking Rotomatics Tuners - 6-In-line - Chrome: Mini Locking Tuning Machine Heads for Guitar with 18:1 Gear Ratio, 6-in-line Configuration, .391"" Hole Size, and Included Mounting Hardware - Chrome",1,"TK8,500.00"
FulltoneSB2,Fulltone  Soul Bender SB-2,1,"TK17,500.00"
Carvin UX1000-BP WirelessSystem,CARVIN UX1000-BP UHF WIRELESS SYSTEM RECEIVER AND BODY PACK TRANSMITTER WITH UXGT (1/4 in. Guitar Cable for Wireless Systems),1,"TK40,000.00"
DiamondBOLSTP15-MV,Diamond Guitars Bolero BOLSTP15-MV - Midnight Violet,1,"TK49,000.00"
Electric Bass,Fernandes Monterey® Bass 4 Deluxe Black with Original Hard Shell Casing,2,"TK219,200.00"
DiamondBOLSTE14-MTB,Diamond Guitars Bolero BOLSTE14-MTB - Elite Black,2,"TK106,000.00"
Cymbal Cleaning Polish,Zildjian Cymbal Cleaning Polish,2,"TK3,000.00"
Dunlop Brass Slide 222,Dunlop Moonshine Slide,2,"TK2,000.00"
FulltoneSC6SSSpeakerCable,Fulltone SC6-SS Speaker Cable,2,"TK8,000.00"
ENGLENZ4Footswitch,ENGL ENZ4 Foot Switch,2,"TK21,000.00"
BreedlovePassportOMMMe,Breedlove Passport OM/MMe acoustic-electric guitar with Original Gig Bag,2,"TK85,000.00"
SDSH8B,Seymour Duncan SH-8b Invader Humbucker Pickup Bridge (Black),2,"TK15,750.00"
Carvin S5 5-Way Lever Switch,Carvin S5 5-Way Lever Switch,2,"TK2,000.00"
Tube,Carvin 12AX7 Tube,2,"TK4,000.00"
SDHBCoverNickel11800-20-NC,Seymour Duncan HB Cover Nickel,2,"TK3,000.00"
Dunlop 6500 System 65 Guitar Maintenance Kit,Dunlop 6500 System 65 Guitar Maintenance Kit,2,"TK3,900.00"
WamplerPinnacleDeluxe,Wampler Pinnacle Deluxe Overdrive Pedal,2,"TK45,000.00"
ReverendDoubleAgentIIIBlack,Reverend Double Agent III Guitar Black with Original Hard Case,2,"TK180,000.00"
DrumsSticksZASTG,Zildjian Artist Series Trilok Gurtu Pair,2,"TK2,500.00"
GigBag,Carvin Gig Bag,2,"TK13,500.00"
DBZBOPFM3TR,DBZ Bird of Prey FM3 Transparent Red (BOPFM3-TR) with Original Hardcase.,2,"TK199,000.00"
OneControlIguanaTail,One Control Iguana Tail Loop five-channel loop switcher,2,"TK23,000.00"
OneControlBJFBuffer,One Control BJF Buffer,2,"TK22,000.00"
WamplerEuphoria,Wampler Euphoria Over Drive,2,"TK38,000.00"
Previous Dues,Previous Dues for Installation,2,"TK49,250.00"
CarvinDCM200LUltraLight200WPowerAmp,Carvin DCM200L Ultra Light 200W Power Amp,2,"TK70,000.00"
BlackStackedKnobsMK-3320-003,"One complete black concentric stacked knob (1 upper knob, 1 lower knob). Includes set screws. Each knob has an indicator dot. Fits EMG, Duncan, Bartolini, and other applications. Total height of 23mm.",2,"TK3,400.00"
CarvinUX-LP1LavalierMic,Carvin UX-LP1 Lavalier Mic,2,"TK24,000.00"
EHXTT,EHX Tone Tattoo Multi-effects Pedal,2,"TK38,000.00"
BlackDomeKnobsMK-0110-003,Black dome knob with set screws. Domes have a slightly flattened top. Fits USA solid shaft pots. Measures 13/16 inch tall x 3/4 inch wide.,2,"TK1,500.00"
SDSH2N,Seymour Duncan SH2-n Jazz Humbucker Pickup,2,"TK14,500.00"
GuitarPickupDMSD,DiMarzio Super Distortion Pickup (Black F-Spaced),2,"TK14,000.00"
PowerSupplyVS8PDC,Visual Sound 1 SPOT 8-Plug Daisy Chain,2,"TK3,150.00"
OneControlPower,One Control Micro Distro Pedal Power Supply,2,"TK25,000.00"
Pickup,Seymour JB Trembucker,2,"TK8,300.00"
HumbuckingPickupRingsNon-slantedBlackPC-0745-023,"Humbucking pickup ring set. Flat bottoms. Includes one short neck ring and one tall bridge ring. Non-slanted sides. Black Plastic. Outside dimensions 3-1/2"" x 1-3/4"". Inside dimensions 2-3/4"" x 1-1/2""",2,TK800.00
Shipping and Tax,2 KG @ 2890,2,"TK11,910.00"
FulltoneFB3,Fulltone FAT-BOOST 3,2,"TK23,000.00"
OneControlOC10,One Control Crocodile Tail Loop Controller,2,"TK98,000.00"
SDSH10n-Z,Seymour Duncan SH-10n Full Shred Zebra,2,"TK16,000.00"
Guitar Slide,Dunlop Moonshine C215,2,"TK1,975.00"
Guilele,Cordoba Guilele Pack,2,"TK18,000.00"
DunlopM237,Dunlop DC Brick,2,"TK19,000.00"
GuitarStrapMSSC8SD-BLK,Levy's MSS8SD Cotton with Nickel Studs Guitar Strap - Black,2,"TK6,000.00"
Midi Solution,iConnectivity iConnectMIDI4+,2,"TK19,280.00"
StewMacAlphaControlPots25Kohm,Alpha Control Pots - 25K-ohm,2,"TK2,000.00"
dums stick,Vick Firth 7A,2,"TK1,850.00"
Ukelele,Cordoba Ukulele 20TM-CE,2,"TK25,500.00"
StewMacMiniToggleSwitchesOn/OnChrome,Mini Toggle Switches - On/On chrome,2,"TK2,000.00"
SavarezNylonString500AJ,Savarez High Tension Nylon String Set 500 AJ,2,"TK4,300.00"
AllPartsBattenStringDamper6-in-lineAP-6721-003,"String Damper by Jennifer Batten - allows for cleaner and clearer playing by controlling feedback. For 6-in-line headstocks. Includes 7/64 inch hex wrench, attachment screws, and pad.",2,"TK14,400.00"
AllPartsHipshotTremsetterBP-0607-010,"Hipshot Tremsetter, Tremolo Stabilizer. Improves guitar performance by automatically returning your full floating tremolo to an exact ""zero"" neutral position, eliminating flutter and sag, so your guitar remains in tune. You can bend strings, play bridge harmonics, aggressive rhythm parts or mute strings and the bridge remains stable. Completely retrofits; no drilling or modification required.",2,"TK15,000.00"
AllPartsRollerGuitarStringGuidesAP-0726-023,Roller String Guides (2) for guitars. Two screws included.,2,"TK2,200.00"
AllPartsTremol-NoSmallClampBP-2007-010,"Tremol-No™ Small Clamp, Tremolo locking device with hardware",2,"TK18,700.00"
Classical Guitar,Dunlop Premier Series Classical Guitar 6 String Set ,2,"TK25,600.00"
SDJBPBHb-Z,"Seymour Duncan Jason Becker Signature ""Perpetual Burn"" Bridge Humbucker Zebra",2,"TK18,500.00"
Monitor Isolation,IsoAcoustics ISO-L8R155 - Medium (Pair) Monitor Isolators,2,"TK20,000.00"
AllParts4-Pole5-WaySuperSwitchEP-0078-000,"4-Pole, Double Wafer, 5-Way Super Switch for Guitar, With stainless steel screws,  1-7/16"" Cavity depth required; 1-5/8"" screw spacing; 1/16"" x 1-1/16"" slot required",2,"TK5,300.00"
Output Jack,Ernie Ball Mono Female Guitar Output Jack,2,"TK2,050.00"
MXRM169,MXR Carbon Copy Analog Delay,2,"TK29,500.00"
OrangeDropCapacitor,Orange Drop Capacitor,2,"TK1,000.00"
Pedaltrain,Pedaltrain nano Softcase ,2,"TK16,000.00"
Harmonica,Hohner 1501/7 Bluesband 7-pk,2,"TK7,400.00"
AllPartsBlackUSAStratocasterSwitchTipsSK-0710-023,"Switch Knob for Stratocaster USA Switch, Black",2,TK900.00
Pedal Switcher,EC Pedals Super Switcher II,2,"TK83,000.00"
Body Routing,Body Routing Work,2,"TK3,000.00"
StewMacMiniToggleSwitchesOn/On/OnChrome,Mini Toggle Switches - On/On/On chrome,2,"TK2,000.00"
Guitar Bridge,Carvin CWB RH WILKINSON TREMOLO - BLACK,2,"TK20,000.00"
AllPartsGotohBlackTrebleSideBassKeyTK-0923-L03,"Single Gotoh treble side bass key, with mounting hardware. Black finish, 20:1 ratio. String Post is 3/8 inch wide. Outer bushing is .5 inch wide. Requires 9/16 inch peg hole.",2,"TK5,000.00"
DecibelElevenPowerSupplyDEHSDEU,Decibel Eleven DB11-HSD-EU Hot Stone Deluxe Power Supply - 230V,2,"TK34,000.00"
SDSH55B,Seymour Duncan Seth Lover SH55B,2,"TK21,000.00"
SDSH55N,Seymour Duncan Seth Lover SH55N,2,"TK21,000.00"
AllPartsGotohBlackBassSideBassKeyTK-0923-003,"Single Gotoh bass side bass key, with mounting hardware. Black finish, 20:1 ratio. String Post is 3/8 inch wide. Outer bushing is .5 inch wide. Requires 9/16 inch peg hole.",2,"TK5,000.00"
Velcro,"Velcro Industrial Strength Sticky-Back Hook & Loop Fasteners, Black, 2inX15 Foot Roll (VEK90197)",2,"TK2,000.00"
RoomKit2x2,Room Acoustics Panel 2 x 2 Feet,2,"TK10,000.00"
RoomKit2x4,Room Acoustics Panel 2 x 4 Feet,2,"TK24,000.00"
CarvinDB3210TRX3210DOLLYBOARD,Carvin DB3210 TRX3210 Dolly Board,2,"TK39,000.00"
CarvinPRO50TL,Carvin PRO50TL 50 Foot Speakon Speaker Cable,2,"TK17,000.00"
CarvinPRO5TL5FootSpeakonSpeakerCable,Carvin PRO5TL 5 Foot Speakon Speaker Cable,2,"TK7,000.00"
MXRM109,MXR Six Band EQ,2,"TK14,000.00"
Tech21GT2,Tech 21 SansAmp GT2,2,"TK33,000.00"
CarvinTRX2115A,Carvin TRX2115A 15 INCH 2-WAY 2000W ACTIVE MAIN-MONITOR,2,"TK140,000.00"
CarvinTRX3118A,"Carvin TRX3118A Active 1900W Flyable 18-Inch Subwoofer. Package Includes: 1 TRx3118A Active 18-inch subwoofer, SUREFLY SF3118 Hanging hardware mounted, PowerCon™ AC cord/jumper kit",2,"TK250,000.00"
Guitar Switch,Oak Grigsby Super Switch 5-way lever switch,2,"TK3,250.00"
Guitar service,Body routing,2,"TK3,500.00"
Dunlop5400PolishCloth,Dunlop 5400 Polish Cloth,2,TK900.00
Guitar Tuning Keys,"Carvin CLT6B CARVIN LOCKING TUNERS, 6 TOP - BLACK",2,"TK11,000.00"
WamplerEgoCompressor,Wampler Ego Compressor,2,"TK37,000.00"
EHXNCC,EHX Neo Clone Analog Chorus,2,"TK12,000.00"
WamplerFauxSpringReverb,Wampler Faux Spring Reverb Pedal,2,"TK42,500.00"
Vocal Booth,sE Electronics SPACE - Specialized Portable Acoustic Control Environment,2,"TK53,500.00"
StewMacFloydRoseTremoloArmSatinChrome,"Tremolo Arm for Floyd Rose - For Floyd Rose, satin-chrome",2,"TK3,000.00"
DBZBAREEMGABFR,DBZ Barchetta Absinthe FR (BAREMGAB-FR) with DBZ Original Hardcase.,2,"TK110,000.00"
PedalboardCableKit,"Diago Patchfactory Solderless Patch Cable KIT  10 x 1/4"" Angled Patch Plugs 1 x 10ft (3.5m) patch cable 1 x Cutter",2,"TK12,000.00"
Rewiring,Rewiring,2,"TK1,500.00"
Guitar Glass Slide,Dunlop 213 Slide,2,"TK1,025.00"
Bass Preamp,EMG BTC Preamp,2,"TK23,500.00"
AllParts9-VoltTopMountBatteryCompartmentEP-2929-023,"9-Volt Deluxe Battery Compartment, Access door, Black, 2-3/16"" x 1"" . Has a 4-screw mounting flange. Built-in terminals and lead wires. Mounting surface must be at least 1-1/4"" x 2-1/2"" (31.75mm x 63.50mm) and 1-1/2"" (38.10mm) depth.",2,"TK4,000.00"
BreedlovePassportDMMe,Breedlove Passport D/MMe acoustic-electric guitar with Original Gig Bag,2,"TK82,500.00"
DBZCAVABFRBK,DBZ Cavallo AB FR Black (CAVAB-FR-BK) with Original DBZ Hardcase,2,"TK140,000.00"
ErnieBallStrings5String,Ernie Ball 2836 Regular Slinky Roundwound 5-String Bass Strings (.045-.130),2,"TK4,500.00"
Reference Monitor,Dynaudio BM 6A MKII,2,"TK150,000.00"
Mandolin Strings,GHS A250 Phosphor Bronze Mandolin Strings - .010-.036,2,"TK1,200.00"
DunlopDBN40100,Dunlop Electric Bass 4 Strings Nickel Light 40-100,2,"TK3,100.00"
SDSPB3,Seymour Duncan Precision Bass® Passive Quarter Pound™ SPB-3 Neck,2,"TK12,500.00"
Capacitor,Orange Drop Capacitor,2,"TK1,000.00"
Bass Hardcase,Fernandes Bass Hardcase,2,"TK17,000.00"
EHXMMTB,EHX Metal Muff with Top Boost Distortion,2,"TK21,000.00"
AllPartsMK-3330-010ChromeMetalKnob,Chrome barrel knobs with indicator and set screw. Fits import concentric pots and split shaft pots. Measures 3/4 x 3/4 inch.,2,"TK1,500.00"
LavaSolderKitMixedLCPBKTMS,Lava Solder Mixed Nickel Plugs 5 each R/A + 5 each Straight 1/4 (SOLDER-VERSION): Black Cable,2,"TK17,000.00"
LavaSolderedPedalBoardKitStraightLCPKTS,Lava Soldered Pedal Board Kit Straight Plugs (SOLDER-VERSION) Black Cable,2,"TK17,000.00"
FernandesRavelleBassXBlack,Fernandes Ravelle® Bass X Black Gloss,2,"TK78,000.00"
AllPartsBlackPickguardforStratPG-0552-033,"Pickguard for Stratocaster®, Black 3-ply (B/with B) (11 screw holes). Gloss finish with foil conductive shielding on the back.",2,"TK4,300.00"
ReverendMercalli5Black,Reverend Mercalli 5 Bass Black with Original Hard Case,2,"TK198,000.00"
OneControlCrocodileTailLoopOC10,One Control Crocodile Tail Loop (OC10),2,"TK101,500.00"
Carvin PRO25TL 25 Foot Speakon Speaker Cable,Carvin PRO25TL 25 Foot Speakon Speaker Cable,2,TK0.00
Carvin PM153 3-WAY 15 Inch Speaker,Carvin PM15A Molded Active Main/Monitor Speaker,2,"TK130,000.00"
Carvin C1240 12 Channel Mixer,"Carvin C1240 12 Channel 4-BUS Mixer W/ 6 Channel Sends, 3 Band Channel EQ",2,"TK140,000.00"
DiagoPedalHookTapePB09,Diago Packaged Self-Adhesive Pedal Hook Tape (PB09): 1 x 2m Self-Adhesive Pedal Hook Tape,2,TK850.00
WamplerPinnacleDistortion,Wampler Pinnacle Distortion,2,"TK35,000.00"
Dunlop Chrome Slide 220,Dunlop Chrome Slide 220,3,"TK1,250.00"
SDTB4,Seymour Duncan TB4 JB Trembucker Humbucker Pickup Bridge (Black),3,"TK22,000.00"
In ear monitor System,CARVIN EM900 960-CHANNEL WIRELESS IN-EAR PERSONAL MONITOR SYSTEM,3,"TK105,000.00"
PedalTrainProSC,PedalTrain Pro with SoftCase (PT-PRO-SC): Frame - 32x16x3.5 inches,3,"TK45,500.00"
Pre Amp,MOTU 4pre: 6-channel USB/FireWire Audio Interface with 4 x Microphone Preamplifiers.,3,"TK188,500.00"
AllPartsBlackMetalKnobsMK-3330-003,Black barrel knob with indicator and set screw. Fits import concentric pots and split shaft pots. Measures 3/4 x 3/4 inch.,3,"TK2,700.00"
GHSStringsM3050X-5,"GHS M3050X-5 STRING BASS,FLATWOUND, 5-STRING, LONG+, MEDIUM",3,"TK8,250.00"
BassStringsEB2836,Ernie Ball 2836 Regular Slinky Roundwound 5-String Bass Strings (.045-.130),3,"TK6,750.00"
Effects Processor,Line 6 POD HD500X Guitar Multi-Effects Processor,3,"TK151,500.00"
Bass Amp,Carvin 2x10 Bass Amp (SN: OD83089),3,"TK133,000.00"
PowerSupplyVSOSPA,Visual Sound One Spot Power Adapter 9 Volts 1700 mA,3,"TK5,900.00"
